WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
1990-06-14,1000,dominicks,12003,1,2.59,31087.769999999997
1990-06-21,1000,dominicks,10239,1,2.39,24471.210000000003
1990-06-28,1000,dominicks,17917,1,2.48,44434.159999999996
1990-07-05,1000,dominicks,14218,1,2.33,33127.94
1990-07-12,1000,dominicks,15925,1,2.01,32009.249999999996
1990-07-19,1000,dominicks,17850,1,2.17,38734.5
1990-07-26,1000,dominicks,10576,1,1.97,20834.72
1990-08-02,1000,dominicks,9912,1,2.26,22401.12
1990-08-09,1000,dominicks,9571,1,2.11,20194.809999999998
1990-08-16,1000,dominicks,15748,1,2.42,38110.159999999996
1990-08-23,1000,dominicks,11419,1,2.18,24893.420000000002
1990-08-30,1000,dominicks,10617,1,2.35,24949.95
1990-09-06,1000,dominicks,16488,1,2.03,33470.64
1990-09-13,1000,dominicks,9014,1,2.08,18749.12
1990-09-20,1000,dominicks,9283,1,2.45,22743.350000000002
1990-09-27,1000,dominicks,18631,1,2.04,38007.24
1990-10-04,1000,dominicks,13200,1,2.64,34848.0
1990-10-11,1000,dominicks,12650,1,2.45,30992.500000000004
1990-10-18,1000,dominicks,15649,1,2.01,31454.489999999998
1990-10-25,1000,dominicks,10965,1,2.02,22149.3
1990-11-01,1000,dominicks,12527,1,2.65,33196.549999999996
1990-11-08,1000,dominicks,14978,1,2.47,36995.66
1990-11-15,1000,dominicks,18231,1,1.95,35550.45
1990-11-22,1000,dominicks,11215,1,2.05,22990.749999999996
1990-11-29,1000,dominicks,12217,1,2.42,29565.14
1990-12-06,1000,dominicks,17960,1,1.91,34303.6
1990-12-13,1000,dominicks,12054,1,2.47,29773.38
1990-12-20,1000,dominicks,17290,1,2.05,35444.5
1990-12-27,1000,dominicks,17638,1,2.28,40214.64
1991-01-03,1000,dominicks,17720,1,2.53,44831.6
1991-01-10,1000,dominicks,9695,1,2.16,20941.2
1991-01-17,1000,dominicks,10246,1,2.34,23975.64
1991-01-24,1000,dominicks,19155,1,2.32,44439.6
1991-01-31,1000,dominicks,12647,1,1.95,24661.649999999998
1991-02-07,1000,dominicks,14728,1,2.32,34168.96
1991-02-14,1000,dominicks,11854,1,2.41,28568.140000000003
1991-02-21,1000,dominicks,19401,1,1.95,37831.95
1991-02-28,1000,dominicks,15920,1,2.41,38367.200000000004
1991-03-07,1000,dominicks,9938,1,2.29,22758.02
1991-03-14,1000,dominicks,10784,1,2.36,25450.239999999998
1991-03-21,1000,dominicks,15498,1,2.48,38435.04
1991-03-28,1000,dominicks,17407,1,2.64,45954.48
1991-04-04,1000,dominicks,9726,1,2.19,21299.94
1991-04-11,1000,dominicks,9776,1,2.0,19552.0
1991-04-18,1000,dominicks,10162,1,2.52,25608.24
1991-04-25,1000,dominicks,18672,1,2.17,40518.24
1991-05-02,1000,dominicks,16078,1,2.02,32477.56
1991-05-09,1000,dominicks,11379,1,2.27,25830.33
1991-05-16,1000,dominicks,18429,1,2.24,41280.96000000001
1991-05-23,1000,dominicks,12312,1,2.61,32134.32
1991-05-30,1000,dominicks,12626,1,2.32,29292.32
1991-06-06,1000,dominicks,18573,1,2.42,44946.659999999996
1991-06-13,1000,dominicks,13242,1,2.12,28073.04
1991-06-20,1000,dominicks,11627,1,2.56,29765.12
1991-06-27,1000,dominicks,10969,1,2.14,23473.66
1991-07-04,1000,dominicks,17280,1,2.25,38880.0
