WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
1990-06-14,1002,minute.maid,12172,1,2.24,27265.280000000002
1990-06-21,1002,minute.maid,18172,1,2.3,41795.6
1990-06-28,1002,minute.maid,11389,1,2.3,26194.699999999997
1990-07-05,1002,minute.maid,10464,1,2.18,22811.52
1990-07-12,1002,minute.maid,18733,1,2.55,47769.149999999994
1990-07-19,1002,minute.maid,13459,1,2.5,33647.5
1990-07-26,1002,minute.maid,13927,1,2.39,33285.53
1990-08-02,1002,minute.maid,18947,1,2.01,38083.469999999994
1990-08-09,1002,minute.maid,15630,1,2.17,33917.1
1990-08-16,1002,minute.maid,11574,1,2.43,28124.820000000003
1990-08-23,1002,minute.maid,11161,1,1.95,21763.95
1990-08-30,1002,minute.maid,12654,1,2.41,30496.140000000003
1990-09-06,1002,minute.maid,9759,1,2.13,20786.67
1990-09-13,1002,minute.maid,19426,1,2.59,50313.34
1990-09-20,1002,minute.maid,17467,1,2.28,39824.759999999995
1990-09-27,1002,minute.maid,19069,1,2.14,40807.66
1990-10-04,1002,minute.maid,11563,1,2.54,29370.02
1990-10-11,1002,minute.maid,16205,1,2.23,36137.15
1990-10-18,1002,minute.maid,12798,1,2.45,31355.100000000002
1990-10-25,1002,minute.maid,13024,1,2.35,30606.4
1990-11-01,1002,minute.maid,14346,1,2.51,36008.46
1990-11-08,1002,minute.maid,9140,1,2.69,24586.6
1990-11-15,1002,minute.maid,15505,1,1.99,30854.95
1990-11-22,1002,minute.maid,15686,1,1.9,29803.399999999998
1990-11-29,1002,minute.maid,15099,1,2.17,32764.829999999998
1990-12-06,1002,minute.maid,17521,1,2.04,35742.840000000004
1990-12-13,1002,minute.maid,9209,1,2.24,20628.160000000003
1990-12-20,1002,minute.maid,19135,1,2.04,39035.4
1990-12-27,1002,minute.maid,17579,1,2.05,36036.95
1991-01-03,1002,minute.maid,14666,1,2.62,38424.92
1991-01-10,1002,minute.maid,15571,1,2.68,41730.280000000006
1991-01-17,1002,minute.maid,15360,1,2.43,37324.8
1991-01-24,1002,minute.maid,10029,1,2.46,24671.34
1991-01-31,1002,minute.maid,13542,1,2.16,29250.72
1991-02-07,1002,minute.maid,15505,1,2.68,41553.4
1991-02-14,1002,minute.maid,10555,1,2.64,27865.2
1991-02-21,1002,minute.maid,14568,1,2.31,33652.08
1991-02-28,1002,minute.maid,9801,1,1.9,18621.899999999998
1991-03-07,1002,minute.maid,17607,1,2.15,37855.049999999996
