WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
1990-06-14,1002,tropicana,12402,1,1.99,24679.98
1990-06-21,1002,tropicana,18607,1,2.49,46331.43000000001
1990-06-28,1002,tropicana,13990,1,2.64,36933.6
1990-07-05,1002,tropicana,19018,1,2.6,49446.8
1990-07-12,1002,tropicana,9714,1,1.98,19233.72
1990-07-19,1002,tropicana,13044,1,2.12,27653.280000000002
1990-07-26,1002,tropicana,9653,1,2.22,21429.660000000003
1990-08-02,1002,tropicana,15222,1,2.1,31966.2
1990-08-09,1002,tropicana,13373,1,2.11,28217.03
1990-08-16,1002,tropicana,9184,1,2.15,19745.6
1990-08-23,1002,tropicana,17922,1,2.49,44625.780000000006
1990-08-30,1002,tropicana,17467,1,1.95,34060.65
1990-09-06,1002,tropicana,11676,1,1.96,22884.96
1990-09-13,1002,tropicana,16236,1,2.16,35069.76
1990-09-20,1002,tropicana,17790,1,2.07,36825.299999999996
1990-09-27,1002,tropicana,18769,1,2.56,48048.64
1990-10-04,1002,tropicana,9458,1,2.07,19578.059999999998
1990-10-11,1002,tropicana,14955,1,2.19,32751.45
1990-10-18,1002,tropicana,10539,1,2.38,25082.82
1990-10-25,1002,tropicana,11443,1,1.92,21970.559999999998
1990-11-01,1002,tropicana,10935,1,2.05,22416.749999999996
1990-11-08,1002,tropicana,17220,1,2.2,37884.0
1990-11-15,1002,tropicana,15878,1,1.93,30644.539999999997
1990-11-22,1002,tropicana,19423,1,2.47,47974.810000000005
1990-11-29,1002,tropicana,13427,1,2.58,34641.66
1990-12-06,1002,tropicana,12177,1,2.22,27032.940000000002
1990-12-13,1002,tropicana,10908,1,2.14,23343.120000000003
1990-12-20,1002,tropicana,17859,1,2.15,38396.85
1990-12-27,1002,tropicana,14477,1,2.63,38074.51
1991-01-03,1002,tropicana,19017,1,2.57,48873.689999999995
1991-01-10,1002,tropicana,17560,1,2.67,46885.2
1991-01-17,1002,tropicana,19578,1,2.28,44637.84
1991-01-24,1002,tropicana,9715,1,2.16,20984.4
1991-01-31,1002,tropicana,18991,1,2.27,43109.57
1991-02-07,1002,tropicana,13250,1,2.42,32065.0
1991-02-14,1002,tropicana,11520,1,2.6,29952.0
1991-02-21,1002,tropicana,16200,1,2.09,33858.0
1991-02-28,1002,tropicana,19683,1,2.63,51766.29
1991-03-07,1002,tropicana,11195,1,2.21,24740.95
1991-03-14,1002,tropicana,16313,1,2.38,38824.939999999995
1991-03-21,1002,tropicana,9924,1,2.55,25306.199999999997
1991-03-28,1002,tropicana,11892,1,2.19,26043.48
1991-04-04,1002,tropicana,9783,1,2.59,25337.969999999998
1991-04-11,1002,tropicana,14064,1,2.06,28971.84
1991-04-18,1002,tropicana,12070,1,2.36,28485.199999999997
1991-04-25,1002,tropicana,12416,1,2.08,25825.280000000002
1991-05-02,1002,tropicana,11680,1,2.03,23710.399999999998
1991-05-09,1002,tropicana,17474,1,2.25,39316.5
1991-05-16,1002,tropicana,19523,1,2.02,39436.46
1991-05-23,1002,tropicana,14042,1,2.16,30330.72
1991-05-30,1002,tropicana,13203,1,2.6,34327.8
1991-06-06,1002,tropicana,13242,1,1.94,25689.48
1991-06-13,1002,tropicana,16927,1,2.03,34361.81
1991-06-20,1002,tropicana,16864,1,2.42,40810.88
1991-06-27,1002,tropicana,14775,1,1.94,28663.5
1991-07-04,1002,tropicana,12859,1,2.68,34462.12
1991-07-11,1002,tropicana,14743,1,2.62,38626.66
1991-07-18,1002,tropicana,13071,1,2.69,35160.99
1991-07-25,1002,tropicana,10144,1,2.11,21403.84
1991-08-01,1002,tropicana,19206,1,2.64,50703.840000000004
1991-08-08,1002,tropicana,9028,1,2.24,20222.72
1991-08-15,1002,tropicana,17404,1,2.08,36200.32
1991-08-22,1002,tropicana,11587,1,2.16,25027.920000000002
1991-08-29,1002,tropicana,17177,1,2.33,40022.41
1991-09-05,1002,tropicana,12311,1,2.35,28930.850000000002
1991-09-12,1002,tropicana,14584,1,2.01,29313.839999999997
1991-09-19,1002,tropicana,9669,1,2.64,25526.16
1991-09-26,1002,tropicana,14376,1,1.96,28176.96
1991-10-03,1002,tropicana,16838,1,2.38,40074.439999999995
1991-10-10,1002,tropicana,17063,1,2.06,35149.78
1991-10-17,1002,tropicana,19763,1,2.55,50395.649999999994
1991-10-24,1002,tropicana,13021,1,1.99,25911.79
1991-10-31,1002,tropicana,17755,1,2.37,42079.35
1991-11-07,1002,tropicana,16728,1,2.56,42823.68
1991-11-14,1002,tropicana,15373,1,2.0,30746.0
1991-11-21,1002,tropicana,19370,1,2.5,48425.0
1991-11-28,1002,tropicana,19319,1,2.13,41149.47
1991-12-05,1002,tropicana,16540,1,2.25,37215.0
1991-12-12,1002,tropicana,11172,1,2.18,24354.960000000003
1991-12-19,1002,tropicana,10708,1,2.06,22058.48
1991-12-26,1002,tropicana,19144,1,2.56,49008.64
1992-01-02,1002,tropicana,15771,1,2.41,38008.11
1992-01-09,1002,tropicana,9445,1,2.01,18984.449999999997
1992-01-16,1002,tropicana,10858,1,2.43,26384.940000000002
1992-01-23,1002,tropicana,18402,1,2.48,45636.96
1992-01-30,1002,tropicana,13300,1,2.23,29659.0
1992-02-06,1002,tropicana,18860,1,2.61,49224.6
1992-02-13,1002,tropicana,17123,1,2.24,38355.520000000004
1992-02-20,1002,tropicana,18861,1,2.4,45266.4
1992-02-27,1002,tropicana,13794,1,2.05,28277.699999999997
1992-03-05,1002,tropicana,19543,1,2.52,49248.36
1992-03-12,1002,tropicana,19925,1,2.62,52203.5
1992-03-19,1002,tropicana,14246,1,2.44,34760.24
1992-03-26,1002,tropicana,15999,1,2.24,35837.76
1992-04-02,1002,tropicana,14128,1,1.92,27125.76
1992-04-09,1002,tropicana,19303,1,2.1,40536.3
1992-04-16,1002,tropicana,13205,1,1.91,25221.55
1992-04-23,1002,tropicana,14153,1,2.3,32551.899999999998
1992-04-30,1002,tropicana,13165,1,2.31,30411.15
1992-05-07,1002,tropicana,13666,1,2.38,32525.079999999998
1992-05-14,1002,tropicana,14190,1,2.25,31927.5
1992-05-21,1002,tropicana,10026,1,2.62,26268.120000000003
1992-05-28,1002,tropicana,14819,1,1.92,28452.48
1992-06-04,1002,tropicana,18920,1,2.62,49570.4
1992-06-11,1002,tropicana,18036,1,2.5,45090.0
1992-06-18,1002,tropicana,9415,1,2.38,22407.7
1992-06-25,1002,tropicana,18008,1,2.19,39437.52
1992-07-02,1002,tropicana,15051,1,2.64,39734.64
1992-07-09,1002,tropicana,13924,1,2.31,32164.440000000002
1992-07-16,1002,tropicana,16641,1,2.67,44431.47
1992-07-23,1002,tropicana,15168,1,2.46,37313.28
1992-07-30,1002,tropicana,13219,1,2.41,31857.79
1992-08-06,1002,tropicana,15090,1,2.06,31085.4
1992-08-13,1002,tropicana,17859,1,2.09,37325.31
1992-08-20,1002,tropicana,18162,1,1.96,35597.52
1992-08-27,1002,tropicana,17089,1,2.19,37424.909999999996
1992-09-03,1002,tropicana,18127,1,2.23,40423.21
1992-09-10,1002,tropicana,12038,1,1.97,23714.86
1992-09-17,1002,tropicana,16580,1,2.01,33325.799999999996
1992-09-24,1002,tropicana,9468,1,2.1,19882.8
1992-10-01,1002,tropicana,15291,1,2.46,37615.86
